conference,conference_short
Midwest Collegiate Volleyball League,MCVL
East Coast Conference,ECC
Middle Atlantic Conferences,MAC
College Conference of Illinois & Wisconsin,CCIW
Northern Athletics Collegiate Conference,NACC
Old Dominion Athletic Conf.,ODAC
Midwestern Intercollegiate Volleyball Association,MIVA
New England Volleyball Conference,NEVC
Sunshine State Conference,SSC
Conference Carolinas,CC
City University of New York Athletic Conference,CUNYAC
Southern Intercol. Ath. Conf.,SIAC
Presidents' Athletic Conference,PAC
Mountain Pacific Sports Federation,MPSF
United East Conference,UEC
Allegheny Mountain Collegiate Conference,AMCC
Independent,IND
Big West Conference,BWC
Eastern Intercollegiate Volleyball Association,EIVA
Northeast Conference,NEC
Great Northeast Athletic Conference,GNAC
Continental Volleyball Conference,CVC
United Volleyball Conference,UVC
Heartland Collegiate Athletic Conference,HCAC
Skyline Conference,SC
Great Lakes Valley Conference,GLVC
Wisconsin Intercollegiate Athletic Conference,WIAC
