conference,conference_short
Western Athletic Conference,WAC
Pacific West Conference,PacWest
Rocky Mountain Athletic Conference,RMAC
Northeast-10 Conference,NE10
Collegiate Conference of the South,CCS
Mid-American Conference,MAC
Southeastern Conference,SEC
Southwestern Athletic Conf.,SWAC
Gulf South Conference,GSC
American Athletic Conference,AAC
Great Northwest Athletic Conference,GNAC
America East Conference,AE
Southern Intercol. Ath. Conf.,SIAC
Great Northeast Athletic Conference,GNAC
Michigan Intercollegiate Athletic Association,MIAA
Middle Atlantic Conference Commonwealth,MAC-CW
Allegheny Mountain Collegiate Conference,AMCC
Empire 8,E8
Presidents' Athletic Conference,PAC
Northern Athletics Collegiate Conference,NACC
Patriot League,PL
New England Small College Athletic Conference,NESCAC
Heartland Collegiate Athletic Conference,HCAC
South Atlantic Conference,SAC
Lone Star Conference,LSC
Sun Belt Conference,SBC
Big 12 Conference,Big 12
Great American Conference,GAC
Mid-America Intercollegiate Athletics Association,MIAA
Ohio Valley Conference,OVC
Great Midwest Athletic Conference,G-MAC
Minnesota Intercollegiate Athletic Conference,MIAC
Peach Belt Conference,PBC
Northern Sun Intercollegiate Conference,NSIC
Southern Collegiate Athletic Conference,SCAC
Atlantic Sun Conference,ASUN
New England Women's and Men's Athletic Conference,NEWMAC
Missouri Valley Conference,MVC
Midwest Conference,MWC
Southern Athletic Association,SAA
Upper Midwest Athletic Conference,UMAC
St. Louis Intercollegiate Athletic Conference,SLIAC
Central Atlantic Collegiate Conference,CACC
Pennsylvania State Athletic Conference,PSAC
Central Intercollegiate Athletic Association,CIAA
Mountain West Conference,MWC
Atlantic Coast Conference,ACC
University Athletic Association,UAA
USA South Athletic Conference,USA South
Old Dominion Athletic Conf.,ODAC
Massachusetts State Collegiate Athletic Conference,MASCAC
The Ivy League,Ivy
Centennial Conference,CC
American Rivers Conference,ARC
Big East Conference,Big East
California Collegiate Athletic Association,CCAA
Big West Conference,Big West
Big Sky Conference,Big Sky
Southern California Intercollegiate Athletic Conf.,SCIAC
Coastal Athletic Association,CAA
Metro Atlantic Athletic Conference,MAAC
State University of New York Athletic Conference,SUNYAC
Ohio Athletic Conference,OAC
College Conference of Illinois & Wisconsin,CCIW
Landmark Conference,LC
United East Conference,UEC
Atlantic East Conference,AEC
Northeast Conference,NEC
Big South Conference,Big South
Conference Carolinas,CC
Coast-To-Coast Athletic Conference,C2C
Southern Conference,SoCon
Liberty League,LL
Horizon League,HL
North Atlantic Conference,NAC
Mountain East Conference,MEC
Mid-Eastern Athletic Conf.,MEAC
Great Lakes Intercollegiate Athletic Conference,GLIAC
Atlantic 10 Conference,A-10
Middle Atlantic Conference Freedom,MAC Freedom
North Coast Athletic Conference,NCAC
The Summit League,Summit
Great Lakes Valley Conference,GLVC
Southland Conference,SLC
American Southwest Conference,ASC
Little East Conference,LEC
Sunshine State Conference,SSC
Skyline Conference,SC
Conference USA,C-USA
Northwest Conference,NWC
West Coast Conference,WCC
Conference of New England,CNE
Big Ten Conference,Big Ten
East Coast Conference,ECC
New Jersey Athletic Conference,NJAC
Independent,IND
Wisconsin Intercollegiate Athletic Conference,WIAC
