orgId,nameOfficial,img,division
2,Abilene Christian University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/abilene-christian.svg,I
30123,Academy of Art University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/academy-of-art.svg,II
929,Adams State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/adams-st.svg,II
3,Adelphi University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/adelphi.svg,II
4,Adrian College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/adrian.svg,III
11324,Agnes Scott College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/agnes-scott.svg,III
5,University of Akron,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/akron.svg,I
8,University of Alabama,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama.svg,I
6,Alabama A&M University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama-am.svg,I
7,Alabama State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alabama-st.svg,I
14,University at Albany,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/albany-ny.svg,I
2798,Albertus Magnus College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/albertus-magnus.svg,III
15,Albion College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/albion.svg,III
16,Albright College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/albright.svg,III
17,Alcorn State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alcorn.svg,I
18,Alfred University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alfred.svg,III
30170,Alfred State College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alfred-st.svg,III
19,Allegheny College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/allegheny.svg,III
21,Alma College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alma.svg,III
938,Alvernia University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alvernia.svg,III
28746,Alverno College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/alverno.svg,III
23,American University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/american.svg,I
22,American International College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/american-intl.svg,II
24,Amherst College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/amherst.svg,III
25,Angelo State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/angelo-st.svg,II
26,Anna Maria College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/anna-maria.svg,III
27,Appalachian State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/appalachian-st.svg,I
966,Arcadia University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arcadia.svg,III
29,University of Arizona,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arizona.svg,I
28,Arizona State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arizona-st.svg,I
30,Arkansas State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas-st.svg,I
947,Arkansas Tech University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/arkansas-tech.svg,II
30243,Asbury University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/asbury.svg,III
35,Ashland University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ashland.svg,II
37,Auburn University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/auburn.svg,I
38,Augsburg University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/augsburg.svg,III
39,Augusta University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/gru-augusta.svg,II
42,Aurora University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/aurora.svg,III
953,Austin College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/austin.svg,III
43,Austin Peay State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/austin-peay.svg,I
44,Averett University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/averett.svg,III
30146,Azusa Pacific University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/azusa-pacific.svg,II
45,Babson College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/babson.svg,III
46,Baldwin Wallace University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/baldwin-wallace.svg,III
47,Ball State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/ball-st.svg,I
962,Bard College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bard.svg,III
49,Barry University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/barry.svg,II
15646,Barton College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/barton.svg,II
58,Baruch College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/baruch.svg,III
50,Bates College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bates.svg,III
51,Baylor University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/baylor.svg,I
30197,Belhaven University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/belhaven.svg,III
52,Bellarmine University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bellarmine.svg,I
14927,Belmont University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/belmont.svg,I
2683,Belmont Abbey College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/belmont-abbey.svg,II
53,Beloit College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/beloit.svg,III
54,Bemidji State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bemidji-st.svg,II
55,Benedict College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/benedict.svg,II
56,Bentley University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bentley.svg,II
30171,Berea College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/berea.svg,III
973,Berry College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/berry.svg,III
30038,Bethany Lutheran College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bethany-lutheran.svg,III
61,Bethune-Cookman University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bethune-cookman.svg,I
62,Binghamton University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/binghamton.svg,I
30220,Biola University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/biola.svg,II
30134,Black Hills State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/black-hills-st.svg,II
64,Blackburn College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/blackburn.svg,III
984,Bloomfield College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bloomfield.svg,II
987,Bluffton University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bluffton.svg,III
66,Boise State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/boise-st.svg,I
67,Boston College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/boston-college.svg,I
69,Bowdoin College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bowdoin.svg,III
70,Bowie State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bowie-st.svg,II
71,Bowling Green State University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bowling-green.svg,I
72,Bradley University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bradley.svg,I
73,Brandeis University,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/brandeis.svg,III
30094,Brevard College,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/brevard.svg,III
74,University of Bridgeport,https://www.ncaa.com/sites/default/files/images/logos/schools/bgl/bridgeport.svg,II
